"Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeNumber","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","BirthYear","MonthlyLeaves","OverTimeHours"
41,"1","Travel_Rarely","Tax","30분미만",2,"기술공학",1,2,"1",3,2,"감사직",4,"Single",5993,8,11,3,1,8,0,1,6,4,0,5,1979,1,8
49,"0","Travel_Frequently","Audit","30분미만",1,"기술공학",2,3,"0",2,2,"컨설팅직",2,"Married",5130,1,23,4,4,10,3,3,10,7,1,7,1971,0,0
37,"1","Travel_Rarely","Audit","30분미만",2,"기타",4,4,"0",2,1,"기술컨설팅직",3,"Single",2090,6,15,3,2,7,3,3,0,0,0,0,1983,3,30
33,"0","Travel_Frequently","Audit","30분미만",4,"기술공학",5,4,"1",3,1,"컨설팅직",3,"Married",2909,1,11,3,3,8,3,3,8,7,3,0,1987,1,43
27,"0","Travel_Rarely","Audit","30분미만",1,"상경계",7,1,"0",3,1,"기술컨설팅직",2,"Married",3468,9,12,3,4,6,3,3,2,2,2,2,1993,0,0
32,"0","Travel_Frequently","Audit","30분미만",2,"기술공학",8,4,"0",3,1,"기술컨설팅직",4,"Single",3068,0,13,3,3,8,2,2,7,7,3,6,1988,2,0
59,"0","Travel_Rarely","Audit","30분미만",3,"상경계",10,3,"1",4,1,"기술컨설팅직",1,"Married",2670,4,20,4,1,12,3,2,1,0,0,0,1961,0,40
30,"0","Travel_Rarely","Audit"," 1시간이상",1,"기술공학",11,4,"0",3,1,"기술컨설팅직",3,"Divorced",2693,1,22,4,2,1,2,3,1,0,0,0,1990,1,0
38,"0","Travel_Frequently","Audit"," 1시간이상",3,"기술공학",12,4,"0",2,3,"세무직",3,"Single",9526,0,21,4,2,10,2,3,9,7,1,8,1982,0,0
36,"0","Travel_Rarely","Audit"," 1시간이상",3,"상경계",13,3,"0",3,2,"투자자문직",3,"Married",5237,6,13,3,2,17,3,2,7,7,7,7,1984,0,0
35,"0","Travel_Rarely","Audit","1시간미만",3,"상경계",14,1,"0",4,1,"기술컨설팅직",2,"Married",2426,0,13,3,3,6,5,3,5,4,0,3,1985,2,0
29,"0","Travel_Rarely","Audit","1시간미만",2,"기술공학",15,4,"1",2,2,"기술컨설팅직",3,"Single",4193,0,12,3,4,10,3,3,9,5,0,8,1991,1,50
31,"0","Travel_Rarely","Audit"," 1시간이상",1,"기술공학",16,1,"0",3,1,"컨설팅직",3,"Divorced",2911,1,17,3,4,5,1,2,5,2,4,3,1989,1,0
34,"0","Travel_Rarely","Audit","1시간미만",2,"상경계",18,2,"0",3,1,"기술컨설팅직",4,"Divorced",2661,0,11,3,3,3,2,3,2,2,1,2,1986,3,0
